"","home_team","yardline_100","game_seconds_remaining","goal_to_go","yards_gained","shotgun","no_huddle","score_differential","first_down_pass","incomplete_pass","interception","down_2","down_3","down_4","pass_length_short","pass_location_middle","pass_location_right","td_team_1"
"505",0,0.208333333333333,0.0925,0,0.0277777777777778,1,1,0.192307692307692,0,1,0,0,0,0,1,0,1,0
"506",0,0.3125,0.0844444444444444,0,0.0277777777777778,1,0,0.192307692307692,0,1,0,1,0,0,1,1,0,0
"507",0,0.3125,0.0830555555555555,0,0.0277777777777778,1,0,0.192307692307692,0,1,0,0,1,0,0,0,1,0
"508",0,0.59375,0.0638888888888889,0,0.0277777777777778,0,0,0.25,0,1,0,0,0,0,0,0,0,0
"509",0,0.3125,0.0336111111111111,0,0.0277777777777778,1,1,0.25,0,1,0,1,0,0,0,0,1,0
"510",0,0.3125,0.0311111111111111,0,0.0277777777777778,1,0,0.25,0,1,0,0,1,0,1,0,1,0
"511",1,0.8125,0.895833333333333,0,0.0277777777777778,1,0,0.673076923076923,0,1,0,0,0,0,1,0,1,0
"512",1,0.3125,0.861111111111111,0,0.0277777777777778,1,0,0.673076923076923,0,0,1,1,0,0,1,1,0,0
"513",1,0.760416666666667,0.796944444444444,0,0.0277777777777778,1,0,0.538461538461538,0,1,0,0,0,0,1,0,1,0
"514",1,0.770833333333333,0.621666666666667,0,0.0277777777777778,1,0,0.288461538461538,0,0,0,1,0,0,1,0,1,0
"515",1,0.770833333333333,0.608888888888889,0,0.0277777777777778,1,0,0.288461538461538,0,1,0,0,1,0,1,0,1,0
"516",1,0.90625,0.556388888888889,0,0.0277777777777778,1,0,0.288461538461538,0,1,0,0,0,0,1,0,1,0
"517",1,0.875,0.514166666666667,0,0.0277777777777778,1,0,0.230769230769231,0,1,0,1,0,0,0,1,0,0
"518",1,0.760416666666667,0.5,0,0.0277777777777778,1,0,0.230769230769231,0,1,0,0,0,0,1,1,0,0
"519",1,0.291666666666667,0.361111111111111,0,0.0277777777777778,1,0,0.230769230769231,0,0,0,1,0,0,1,0,0,0
"520",1,0.291666666666667,0.349444444444444,0,0.0277777777777778,1,0,0.230769230769231,0,1,0,0,1,0,1,0,1,0
"521",1,0.364583333333333,0.188333333333333,0,0.0277777777777778,0,0,0.442307692307692,0,1,0,0,0,0,1,0,1,0
"522",1,0.364583333333333,0.186944444444444,0,0.0277777777777778,1,0,0.442307692307692,0,1,0,1,0,0,0,0,1,0
"523",1,0.177083333333333,0.156388888888889,0,0.0277777777777778,1,0,0.442307692307692,0,1,0,0,1,0,1,0,1,0
"524",1,0.0208333333333333,0.133333333333333,1,0.0138888888888889,1,0,0.442307692307692,0,0,0,1,0,0,1,0,1,0
"525",1,0.03125,0.120555555555556,1,0.0277777777777778,1,0,0.442307692307692,0,1,0,0,1,0,1,0,1,0
"526",1,0,0.106944444444444,1,0.0277777777777778,0,0,0.442307692307692,0,1,0,1,0,0,1,1,0,0
"527",1,0,0.104444444444444,1,0.0277777777777778,1,0,0.442307692307692,0,0,1,0,1,0,1,0,0,0
"528",1,0.916666666666667,0.0372222222222222,0,0.0277777777777778,1,0,0.384615384615385,0,1,0,0,0,0,1,0,1,0
"529",1,0.791666666666667,0.0333333333333333,0,0.0277777777777778,1,0,0.384615384615385,0,1,0,0,0,0,1,0,0,0
"530",1,0.791666666666667,0.0319444444444444,0,0.0277777777777778,1,0,0.384615384615385,0,1,0,1,0,0,1,0,1,0
"531",1,0.09375,0.885,0,0.0277777777777778,1,1,0.673076923076923,0,1,0,1,0,0,1,0,0,0
"532",1,0.666666666666667,0.822777777777778,0,0.0277777777777778,1,0,0.596153846153846,0,1,0,0,1,0,1,0,0,0
"533",1,0.770833333333333,0.736944444444444,0,0.0277777777777778,1,0,0.596153846153846,0,1,0,1,0,0,1,0,0,0
"534",1,0.583333333333333,0.534444444444444,0,0.0277777777777778,1,0,0.461538461538462,0,1,0,0,1,0,1,0,0,0
"535",1,0.677083333333333,0.524722222222222,0,0.0277777777777778,1,0,0.326923076923077,0,1,0,1,0,0,0,0,0,0
"536",1,0.59375,0.42,0,0.0277777777777778,1,0,0.134615384615385,0,1,0,1,0,0,1,0,1,0
"537",1,0.625,0.255555555555556,0,0.0277777777777778,1,1,0.134615384615385,0,1,0,1,0,0,1,1,0,0
"538",1,0.614583333333333,0.25,0,0.0138888888888889,1,0,0.134615384615385,0,0,0,0,0,1,1,0,0,0
"539",1,0.760416666666667,0.181388888888889,0,0.0277777777777778,1,0,0,0,1,0,0,0,0,1,0,1,0
"540",1,0.760416666666667,0.179444444444444,0,0.0277777777777778,1,0,0,0,1,0,1,0,0,1,0,0,0
"541",1,0.760416666666667,0.176944444444444,0,0.0277777777777778,1,0,0,0,1,0,0,1,0,1,0,1,0
"542",1,0.427083333333333,0.105277777777778,0,0.0277777777777778,1,0,0,0,1,0,0,0,0,1,0,1,0
"543",1,0.427083333333333,0.104444444444444,0,0.0277777777777778,1,0,0,0,1,0,1,0,0,0,0,1,0
"544",1,0.354166666666667,0.0944444444444444,0,0.0277777777777778,1,0,0,0,1,0,0,0,1,0,0,1,0
"545",0,0.114583333333333,0.899444444444444,0,0.0277777777777778,1,0,0.538461538461538,0,1,0,1,0,0,1,0,1,0
"546",0,0.666666666666667,0.829444444444444,0,0.0277777777777778,1,0,0.538461538461538,0,1,0,0,0,0,1,1,0,0
"547",0,0.635416666666667,0.816944444444444,0,0.0277777777777778,1,0,0.538461538461538,0,1,0,0,1,0,0,0,1,0
"548",0,0.864583333333333,0.716666666666667,0,0.0277777777777778,1,0,0.538461538461538,0,1,0,1,0,0,1,0,1,0
"549",0,1,0.6025,0,0.0277777777777778,1,0,0.538461538461538,0,1,0,0,1,0,1,0,1,0
"550",0,0.614583333333333,0.526666666666667,0,0.0277777777777778,1,1,0.480769230769231,0,1,0,1,0,0,1,0,0,0
"551",0,0.614583333333333,0.524722222222222,0,0.0277777777777778,1,0,0.480769230769231,0,1,0,0,1,0,1,0,1,0
"552",0,0.697916666666667,0.478611111111111,0,0.0277777777777778,1,0,0.423076923076923,0,1,0,0,1,0,0,1,0,0
"553",0,0.125,0.282222222222222,0,0.0277777777777778,1,0,0.423076923076923,0,1,0,0,0,0,1,0,0,0
"554",0,0.364583333333333,0.121388888888889,0,0.0277777777777778,0,0,0.480769230769231,0,1,0,0,0,0,1,0,1,0
"555",0,0.239583333333333,0.107222222222222,0,0.0277777777777778,1,0,0.480769230769231,0,1,0,0,0,0,1,0,0,0
"556",0,0.0208333333333333,0.0102777777777778,1,0.0277777777777778,1,0,0.615384615384615,0,1,0,1,0,0,1,1,0,0
"557",0,0.583333333333333,0.8675,0,0.0277777777777778,1,0,0.403846153846154,0,1,0,0,1,0,1,1,0,0
"558",0,0.666666666666667,0.765,0,0.0277777777777778,1,0,0.403846153846154,0,1,0,1,0,0,1,0,1,0
"559",0,0.666666666666667,0.763888888888889,0,0.0277777777777778,1,0,0.403846153846154,0,1,0,0,1,0,1,0,0,0
"560",0,0.625,0.717222222222222,0,0.0277777777777778,0,0,0.403846153846154,0,1,0,1,0,0,1,0,1,0
"561",0,0.625,0.716388888888889,0,0.0277777777777778,1,0,0.403846153846154,0,1,0,0,1,0,1,0,0,0
"562",0,0.979166666666667,0.535,0,0.0277777777777778,1,0,0.461538461538462,0,1,0,1,0,0,1,0,0,0
"563",0,0.979166666666667,0.533888888888889,0,0.0277777777777778,1,0,0.461538461538462,0,1,0,0,1,0,1,1,0,0
"564",0,0.979166666666667,0.376111111111111,0,0.0277777777777778,1,0,0.403846153846154,0,1,0,0,1,0,1,0,0,0
"565",0,0.135416666666667,0.315,0,0.0277777777777778,1,0,0.403846153846154,0,1,0,0,0,0,1,0,1,0
"566",0,0.677083333333333,0.139722222222222,0,0.0277777777777778,1,0,0.442307692307692,0,1,0,0,0,0,0,0,0,0
"567",0,0.479166666666667,0.119166666666667,0,0.0277777777777778,1,0,0.442307692307692,0,1,0,0,0,0,0,0,0,0
"568",0,0.479166666666667,0.117777777777778,0,0.0277777777777778,1,0,0.442307692307692,0,1,0,1,0,0,1,1,0,0
"569",0,0.479166666666667,0.116666666666667,0,0.0277777777777778,1,0,0.442307692307692,0,1,0,0,1,0,1,0,1,0
"570",0,0.333333333333333,0.110833333333333,0,0.0277777777777778,1,0,0.442307692307692,0,1,0,0,0,0,1,0,1,0
"571",0,0.333333333333333,0.109444444444444,0,0.0277777777777778,1,0,0.442307692307692,0,1,0,1,0,0,1,0,0,0
"572",0,0.03125,0.0883333333333333,1,0.0277777777777778,1,0,0.442307692307692,0,1,0,0,0,0,1,0,1,0
"573",0,0.03125,0.0875,1,0.0277777777777778,1,0,0.442307692307692,0,1,0,1,0,0,1,0,1,0
"574",0,0.0520833333333333,0.0758333333333333,1,0.0277777777777778,1,0,0.442307692307692,0,1,0,0,0,1,1,1,0,0
"575",1,0,0.858333333333333,1,0.0277777777777778,0,0,0.615384615384615,0,1,0,1,0,0,1,0,1,0
"576",1,0,0.857222222222222,1,0.0277777777777778,1,0,0.615384615384615,0,1,0,0,1,0,1,0,0,0
"577",1,0.6875,0.75,0,0.0277777777777778,1,0,0.538461538461538,0,1,0,1,0,0,1,0,0,0
"578",1,0.375,0.716944444444444,0,0.0277777777777778,1,0,0.538461538461538,0,1,0,0,0,0,1,0,1,0
"579",1,0.34375,0.702777777777778,0,0.0277777777777778,1,0,0.538461538461538,0,1,0,0,1,0,1,0,1,0
"580",1,0.65625,0.526388888888889,0,0.0277777777777778,1,1,0.596153846153846,0,0,1,0,0,0,1,0,0,0
"581",1,0.666666666666667,0.5075,0,0.0277777777777778,1,0,0.538461538461538,0,1,0,1,0,0,1,0,1,0
"582",1,0.40625,0.503333333333333,0,0.0277777777777778,1,0,0.538461538461538,0,1,0,1,0,0,1,0,1,0
"583",1,0.322916666666667,0.419166666666667,0,0.0277777777777778,1,0,0.596153846153846,0,1,0,0,0,0,0,0,0,0
"584",1,0.833333333333333,0.351388888888889,0,0.0277777777777778,1,0,0.75,0,0,0,0,0,0,1,0,0,0
"585",1,0.666666666666667,0.288055555555556,0,0.0277777777777778,1,0,0.75,0,1,0,0,1,0,1,0,0,0
"586",1,0.604166666666667,0.192777777777778,0,0.0277777777777778,1,0,0.75,0,1,0,1,0,0,1,0,1,0
"587",1,0.1875,0.0905555555555556,0,0.0277777777777778,0,0,0.884615384615385,0,1,0,0,0,0,1,0,1,0
