"","home_team","yardline_100","game_seconds_remaining","goal_to_go","yards_gained","shotgun","no_huddle","qb_dropback","qb_scramble","score_differential","first_down_rush","down_2","down_3","down_4","run_location_middle","run_location_right","run_gap_end","run_gap_guard","run_gap_tackle","td_team_1","td_team_2"
"83",0,0.744897959183674,0.0570948782535684,0,0.126315789473684,1,0,0,0,0.461538461538462,0,0,1,0,0,1,0,0,1,0,0
"84",1,0.755102040816326,0.966974531206269,0,0.136842105263158,0,0,0,0,0.192307692307692,0,0,0,0,0,1,1,0,0,0,0
"85",1,0.469387755102041,0.832633641197873,0,0.126315789473684,0,0,0,0,0.0576923076923077,0,0,0,0,1,0,0,0,0,0,0
"86",1,0.255102040816327,0.765743073047859,0,0.126315789473684,0,0,0,0,0.0576923076923077,0,0,0,0,0,0,1,0,0,0,0
"87",1,0.591836734693878,0.591939546599496,0,0.126315789473684,1,0,0,0,0.0576923076923077,0,1,0,0,1,0,0,0,0,0,0
"88",1,0.642857142857143,0.35600335852225,0,0.136842105263158,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"89",1,0.540816326530612,0.31961936747831,0,0.126315789473684,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"90",1,0.612244897959184,0.104673943464875,0,0.126315789473684,1,0,1,1,0.0769230769230769,0,0,0,0,0,1,1,0,0,0,0
"91",0,0.653061224489796,0.988245172124265,0,0.136842105263158,0,0,0,0,0.326923076923077,0,0,0,0,1,0,0,0,0,0,0
"92",0,0.397959183673469,0.9434648754548,0,0.126315789473684,0,0,0,0,0.326923076923077,0,0,1,0,0,0,1,0,0,0,0
"93",0,0.938775510204082,0.694374475230898,0,0.136842105263158,0,0,0,0,0.538461538461538,0,1,0,0,0,0,0,1,0,0,0
"94",0,0.693877551020408,0.529806884970613,0,0.136842105263158,1,0,0,0,0.596153846153846,0,1,0,0,1,0,0,0,0,0,0
"95",0,0.602040816326531,0.262524489224741,0,0.136842105263158,0,0,0,0,0.269230769230769,0,0,0,0,0,1,1,0,0,0,0
"96",0,0.438775510204082,0.174923033865099,0,0.136842105263158,0,0,0,0,0.269230769230769,0,0,0,0,0,1,0,0,1,0,0
"97",0,0.755102040816326,0.512454520011195,0,0.126315789473684,1,0,0,0,0.403846153846154,0,0,0,0,0,1,0,0,1,0,0
"98",0,0.948979591836735,0.295549958018472,0,0.136842105263158,0,0,0,0,0.403846153846154,0,0,0,0,0,1,0,1,0,0,0
"99",0,0.755102040816326,0.0909599776098517,0,0.136842105263158,1,0,0,0,0.346153846153846,0,0,0,0,0,1,0,1,0,0,0
