"","home_team","yardline_100","game_seconds_remaining","goal_to_go","yards_gained","shotgun","no_huddle","qb_dropback","qb_scramble","score_differential","first_down_rush","down_2","down_3","down_4","run_location_middle","run_location_right","run_gap_end","run_gap_guard","run_gap_tackle","td_team_1"
"164",1,0.316326530612245,0.616076447442383,0,0.113636363636364,0,0,0,0,0.60377358490566,0,0,0,0,1,0,0,0,0,0
"165",1,0.193877551020408,0.597807757166948,0,0.113636363636364,0,0,0,0,0.60377358490566,0,0,0,0,1,0,0,0,0,0
"166",1,0.0714285714285714,0.564924114671164,1,0.113636363636364,0,0,0,0,0.60377358490566,0,0,0,0,0,1,1,0,0,0
"167",1,0.122448979591837,0.320685778527262,0,0.113636363636364,0,0,0,0,0.60377358490566,0,1,0,0,1,0,0,0,0,0
"168",1,0.897959183673469,0.11663856098932,0,0.125,0,0,0,0,0.528301886792453,0,0,0,0,1,0,0,0,0,0
"169",0,0.428571428571429,0.737211916807195,0,0.113636363636364,1,0,0,0,0.660377358490566,0,1,0,0,0,0,0,0,1,0
"170",0,0.612244897959184,0.670601461495222,0,0.125,0,0,1,1,0.660377358490566,0,0,0,0,0,1,1,0,0,0
"171",0,0.479591836734694,0.433951658234963,0,0.102272727272727,1,0,0,0,0.641509433962264,1,0,0,1,1,0,0,0,0,0
"172",0,0.479591836734694,0.329960652051714,0,0.113636363636364,0,0,1,1,0.69811320754717,0,0,0,0,0,0,1,0,0,0
"173",0,0.0714285714285714,0.22681281618887,1,0.113636363636364,0,0,0,0,0.641509433962264,0,0,0,0,1,0,0,0,0,0
"174",0,0.0408163265306122,0.214446318156268,1,0.113636363636364,1,0,1,1,0.641509433962264,0,1,0,0,1,0,0,0,0,0
"175",0,0.816326530612245,0.130129286115795,0,0.113636363636364,0,0,0,0,0.792452830188679,0,0,0,0,0,0,1,0,0,0
"176",0,0.724489795918367,0.104834176503654,0,0.102272727272727,0,0,0,0,0.792452830188679,1,0,1,0,0,0,0,0,1,0
"177",0,0.704081632653061,0.0916245081506464,0,0.113636363636364,0,0,0,0,0.792452830188679,0,1,0,0,0,0,0,0,1,0
"178",0,0.112244897959184,0.0252951096121417,0,0.125,0,0,0,0,0.924528301886792,0,0,1,0,0,1,0,1,0,0
"179",1,0.0816326530612245,0.973299606520517,1,0.113636363636364,0,0,0,0,0.660377358490566,0,0,0,0,1,0,0,0,0,0
"180",1,0.73469387755102,0.781056773468241,0,0.113636363636364,0,0,0,0,0.641509433962264,0,0,0,0,1,0,0,0,0,0
"181",1,0.642857142857143,0.654862282181001,0,0.113636363636364,1,0,0,0,0.773584905660377,0,1,0,0,0,0,1,0,0,0
"182",1,0.642857142857143,0.523046655424396,0,0.113636363636364,1,0,1,1,0.830188679245283,0,0,0,0,0,1,0,1,0,0
"183",1,0.0816326530612245,0.293423271500843,1,0.113636363636364,1,0,0,0,0.886792452830189,0,0,0,0,1,0,0,0,0,0
"184",1,0.673469387755102,0.866216975829117,0,0.113636363636364,0,0,0,0,0.60377358490566,0,0,0,0,0,1,0,1,0,0
"185",1,0.153061224489796,0.535975267003935,0,0.125,1,0,0,0,0.490566037735849,0,1,0,0,0,0,0,0,1,0
"186",1,0.561224489795918,0.473018549747049,0,0.125,0,0,0,0,0.547169811320755,0,0,0,0,0,0,0,0,1,0
"187",1,0.26530612244898,0.426925238898257,0,0.125,1,0,0,0,0.547169811320755,0,0,0,0,1,0,0,0,0,0
"188",1,0.653061224489796,0.303822372119168,0,0.113636363636364,1,0,0,0,0.490566037735849,0,0,0,0,0,0,0,0,1,0
