"","home_team","yardline_100","game_seconds_remaining","down","goal_to_go","yards_gained","shotgun","no_huddle","qb_dropback","qb_scramble","run_location","run_gap","td_team","score_differential","first_down_rush","incomplete_pass"
"218",0,37,2951,1,0,2,1,0,0,0,"left","end",0,-7,0,0
"229",0,63,1743,2,0,2,0,0,0,0,"left","tackle",0,3,0,0
"232",0,2,1485,2,1,1,0,0,0,0,"middle","center",0,3,0,0
"243",0,65,455,2,0,2,0,0,0,0,"middle","center",0,24,0,0
"245",0,55,362,1,0,1,0,0,0,0,"left","end",0,24,0,0
"248",0,69,3203,1,0,2,0,0,0,0,"middle","center",0,0,0,0
"250",0,43,3077,2,0,2,0,0,0,0,"right","guard",0,0,0,0
"268",0,46,900,2,0,2,0,0,0,0,"right","tackle",0,24,0,0
"273",0,85,282,2,0,1,0,0,0,0,"left","end",0,22,0,0
"280",1,54,2972,1,0,1,0,0,0,0,"middle","center",0,0,0,0
"282",1,83,2480,1,0,1,0,0,0,0,"middle","center",0,13,0,0
"283",1,82,2446,2,0,2,1,0,1,1,"middle","center",0,13,0,0
"287",1,61,2135,2,0,1,0,0,0,0,"left","end",0,20,0,0
"289",1,24,1920,1,0,1,0,0,0,0,"middle","center",0,20,0,0
"296",1,70,1207,2,0,2,0,0,0,0,"left","guard",0,20,0,0
"298",1,70,778,2,0,1,0,0,0,0,"middle","center",0,12,0,0
"301",1,24,197,1,0,1,0,0,0,0,"middle","center",0,12,0,0
"303",1,26,188,3,0,2,1,0,0,0,"middle","center",0,12,0,0
"309",1,86,2950,1,0,2,0,0,0,0,"right","guard",0,4,0,0
"320",1,54,1205,1,0,1,1,0,0,0,"left","end",0,21,0,0
"328",1,64,334,1,0,1,0,0,0,0,"middle","center",0,35,0,0
"335",0,67,3569,2,0,1,0,1,0,0,"left","guard",0,0,0,0
"337",0,41,3435,1,0,1,0,0,0,0,"right","tackle",0,0,0,0
"338",0,62,3166,1,0,2,0,1,0,0,"left","guard",0,4,0,0
"357",0,65,856,1,0,1,1,0,0,0,"left","end",0,10,0,0
"362",0,44,138,1,0,1,0,0,0,0,"middle","center",0,3,0,0
"365",0,33,120,2,0,1,0,0,0,0,"right","guard",0,3,0,0
"369",0,85,3068,2,0,2,0,0,0,0,"right","tackle",0,14,0,0
"371",0,46,2946,1,0,2,0,0,0,0,"left","guard",0,14,0,0
"374",0,55,2295,1,0,2,0,0,0,0,"left","tackle",0,11,0,0
"388",0,41,189,1,0,2,0,0,0,0,"right","tackle",0,12,0,0
"391",1,23,3416,1,0,2,0,0,0,0,"middle","center",0,0,0,0
"393",1,2,3311,2,1,1,0,0,0,0,"middle","center",0,0,0,0
"395",1,79,3073,1,0,2,1,0,0,0,"left","end",0,0,0,0
"396",1,77,3034,2,0,1,0,0,0,0,"middle","center",0,0,0,0
"402",1,53,2432,3,0,2,1,0,1,1,"middle","center",0,4,0,0
"5",1,34,2457,1,0,3,0,0,0,0,"right","end",0,7,0,0
"7",1,52,1982,2,0,4,1,0,0,0,"middle","center",0,7,0,0
"10",1,51,1352,3,0,2,0,0,0,0,"middle","center",0,10,1,0
"11",1,40,1271,2,0,2,1,0,0,0,"middle","center",0,10,1,0
"20",1,12,314,1,0,4,0,0,0,0,"middle","center",0,18,0,0
"24",1,22,92,2,0,3,0,0,0,0,"middle","center",0,14,0,0
"30",0,37,2955,1,0,4,1,0,0,0,"right","guard",0,0,0,0
